_link,_link_releases,_link_releases_contracts,_link_main,id,description,quantity,classification_scheme,classification_id,classification_description,unit_id,unit_name,unit_value_amount,unit_value_currency
0.releases.3428.contracts.0.items.571,0.releases.3428,0.releases.3428.contracts.0,0,5059e258-2bd2-4e75-9c8f-8cef909c3101,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406109,"Car or truck insurance,GP 813 A/TOYOTA L/C",1286230,RWF
0.releases.3428.contracts.0.items.572,0.releases.3428,0.releases.3428.contracts.0,0,725522e3-afc1-4291-8dd8-ade45b312929,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406109,"Car or truck insurance,GP 813 A/TOYOTA L/C",1286230,RWF
0.releases.3428.contracts.0.items.573,0.releases.3428,0.releases.3428.contracts.0,0,792d154a-2fbd-4de4-af37-8f0f18493392,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406109,"Car or truck insurance,GP 813 A/TOYOTA L/C",1286230,RWF
0.releases.3428.contracts.0.items.574,0.releases.3428,0.releases.3428.contracts.0,0,6947762e-dff1-4392-a18d-7bb3b401f388,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406109,"Car or truck insurance,GP 813 A/TOYOTA L/C",1286230,RWF
0.releases.3428.contracts.0.items.575,0.releases.3428,0.releases.3428.contracts.0,0,ff4f15cf-7681-4c42-93b8-91024f51471a,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406110,"Car or truck insurance,GP 490 EFOLKLIFT",2097190,RWF
0.releases.3428.contracts.0.items.576,0.releases.3428,0.releases.3428.contracts.0,0,58a21471-dabe-4548-aced-b88a8c2c5f4d,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406110,"Car or truck insurance,GP 490 EFOLKLIFT",2097190,RWF
0.releases.3428.contracts.0.items.577,0.releases.3428,0.releases.3428.contracts.0,0,987decda-b2d7-4ef2-82d3-88173218320d,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406110,"Car or truck insurance,GP 490 EFOLKLIFT",2097190,RWF
0.releases.3428.contracts.0.items.578,0.releases.3428,0.releases.3428.contracts.0,0,5d77a85a-70b0-4e0b-9b50-0223dada9745,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406110,"Car or truck insurance,GP 490 EFOLKLIFT",2097190,RWF
0.releases.3428.contracts.0.items.579,0.releases.3428,0.releases.3428.contracts.0,0,d766ab2f-c911-4ae9-9057-5f4454de1295,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406110,"Car or truck insurance,GP 490 EFOLKLIFT",2097190,RWF
0.releases.3428.contracts.0.items.580,0.releases.3428,0.releases.3428.contracts.0,0,160669bc-078f-418a-aaba-3690dcc8a666,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406111,"Car or truck insurance,GR962 E/ISUZU",2427817,RWF
0.releases.3428.contracts.0.items.581,0.releases.3428,0.releases.3428.contracts.0,0,e97bc0b5-a8fe-4b22-b54d-fa898c3bef2b,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406111,"Car or truck insurance,GR962 E/ISUZU",2427817,RWF
0.releases.3428.contracts.0.items.582,0.releases.3428,0.releases.3428.contracts.0,0,b149b080-901c-49a2-9489-3d312e6e539c,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406111,"Car or truck insurance,GR962 E/ISUZU",2427817,RWF
